1,8.94E-06,3.94E-08,2.87E-07,9.93E-07,2.23E-06,3.97E-06,6.21E-06,8.94E-06,1.22E-05,1.59E-05,2.01E-05,2.48E-05,3.01E-05,3.58E-05,-2.00E+01
2,3.49E-05,3.94E-08,1.01E-06,3.88E-06,8.73E-06,1.55E-05,2.43E-05,3.49E-05,4.76E-05,6.21E-05,7.86E-05,9.70E-05,1.17E-04,1.40E-04,-2.00E+01
3,7.57E-05,3.94E-08,2.14E-06,8.41E-06,1.89E-05,3.36E-05,5.26E-05,7.57E-05,1.03E-04,1.35E-04,1.70E-04,2.10E-04,2.54E-04,3.03E-04,-2.00E+01
4,0.000127538,3.94E-08,3.58E-06,1.42E-05,3.19E-05,5.67E-05,8.86E-05,0.000127538,1.74E-04,2.27E-04,2.87E-04,3.54E-04,4.29E-04,5.10E-04,-2.00E+01
5,0.000185886,3.94E-08,5.20E-06,2.07E-05,4.65E-05,8.26E-05,1.29E-04,0.000185886,2.53E-04,3.30E-04,4.18E-04,5.16E-04,6.25E-04,7.43E-04,-2.00E+01
6,0.000245535,3.94E-08,6.86E-06,2.73E-05,6.14E-05,1.09E-04,1.71E-04,0.000245535,3.34E-04,4.37E-04,5.52E-04,6.82E-04,8.25E-04,9.82E-04,-2.00E+01
7,0.00030118,3.94E-08,8.41E-06,3.35E-05,7.53E-05,1.34E-04,2.09E-04,0.00030118,4.10E-04,5.35E-04,6.78E-04,8.36E-04,1.01E-03,1.20E-03,-1.99E+01
8,0.000347875,3.94E-08,9.71E-06,3.87E-05,8.70E-05,1.55E-04,2.42E-04,0.000347875,4.74E-04,6.18E-04,7.83E-04,9.66E-04,1.17E-03,1.39E-03,-1.99E+01
9,0.00038148,3.94E-08,1.06E-05,4.24E-05,9.54E-05,1.70E-04,2.65E-04,0.00038148,5.19E-04,6.78E-04,8.58E-04,1.06E-03,1.28E-03,1.52E-03,-1.99E+01
10,0.000399017,3.94E-08,1.11E-05,4.44E-05,9.98E-05,1.77E-04,2.77E-04,0.000399017,5.43E-04,7.09E-04,8.97E-04,1.11E-03,1.34E-03,1.59E-03,-1.99E+01
11,0.000398944,3.94E-08,1.11E-05,4.44E-05,9.98E-05,1.77E-04,2.77E-04,0.000398944,5.43E-04,7.09E-04,8.97E-04,1.11E-03,1.34E-03,1.59E-03,-1.99E+01
12,0.000381275,3.94E-08,1.06E-05,4.24E-05,9.54E-05,1.70E-04,2.65E-04,0.000381275,5.19E-04,6.78E-04,8.57E-04,1.06E-03,1.28E-03,1.52E-03,-1.99E+01
13,0.000347593,3.94E-08,9.70E-06,3.87E-05,8.69E-05,1.55E-04,2.41E-04,0.000347593,4.73E-04,6.18E-04,7.81E-04,9.64E-04,1.17E-03,1.39E-03,-1.99E+01
14,0.000300889,3.94E-08,8.40E-06,3.35E-05,7.53E-05,1.34E-04,2.09E-04,0.000300889,4.09E-04,5.35E-04,6.76E-04,8.35E-04,1.01E-03,1.20E-03,-1.99E+01
15,0.000245311,3.94E-08,6.86E-06,2.73E-05,6.14E-05,1.09E-04,1.70E-04,0.000245311,3.34E-04,4.36E-04,5.51E-04,6.80E-04,8.22E-04,9.78E-04,-1.99E+01
16,0.000185786,3.94E-08,5.21E-06,2.07E-05,4.65E-05,8.26E-05,1.29E-04,0.000185786,2.53E-04,3.30E-04,4.17E-04,5.15E-04,6.22E-04,7.40E-04,-1.99E+01
17,0.000127583,3.94E-08,3.59E-06,1.42E-05,3.19E-05,5.68E-05,8.87E-05,0.000127583,1.74E-04,2.26E-04,2.86E-04,3.53E-04,4.27E-04,5.07E-04,-1.98E+01
18,7.59E-05,3.94E-08,2.15E-06,8.46E-06,1.90E-05,3.38E-05,5.27E-05,7.59E-05,1.03E-04,1.35E-04,1.70E-04,2.10E-04,2.53E-04,3.01E-04,-1.98E+01
19,3.52E-05,3.94E-08,1.02E-06,3.93E-06,8.81E-06,1.57E-05,2.45E-05,3.52E-05,4.78E-05,6.23E-05,7.87E-05,9.70E-05,1.17E-04,1.39E-04,-1.98E+01
20,9.12E-06,3.94E-08,2.95E-07,1.02E-06,2.29E-06,4.07E-06,6.35E-06,9.12E-06,1.24E-05,1.61E-05,2.03E-05,2.50E-05,3.01E-05,3.56E-05,-1.98E+01
21,1.64E-08,3.94E-08,3.96E-08,1.61E-09,2.63E-09,3.96E-09,8.17E-09,1.64E-08,1.80E-08,1.90E-08,2.11E-08,2.07E-08,4.47E-08,4.75E-08,-1.98E+01
22,8.65E-06,3.94E-08,2.77E-07,9.52E-07,2.15E-06,3.82E-06,5.99E-06,8.65E-06,1.18E-05,1.55E-05,1.97E-05,2.44E-05,2.97E-05,3.55E-05,-1.98E+01
